locus_tag	op?
EQU24_RS10370	False
EQU24_RS02895	False
EQU24_RS19765	False
EQU24_RS03495	False
EQU24_RS18125	True
EQU24_RS02970	False
EQU24_RS15745	False
EQU24_RS04160	True
EQU24_RS18135	True
EQU24_RS21665	False
EQU24_RS19105	False
EQU24_RS21040	False
EQU24_RS07185	False
EQU24_RS15535	False
EQU24_RS09110	True
EQU24_RS21565	False
EQU24_RS18355	False
EQU24_RS15705	False
EQU24_RS19315	False
EQU24_RS22055	True
EQU24_RS19305	True
EQU24_RS18140	False
EQU24_RS15100	False
EQU24_RS21560	False
EQU24_RS02265	True
EQU24_RS12525	False
EQU24_RS22110	False
EQU24_RS12965	True
EQU24_RS07390	False
EQU24_RS16195	False
EQU24_RS02240	True
EQU24_RS18060	False
EQU24_RS12095	False
EQU24_RS07385	True
EQU24_RS21720	False
EQU24_RS18130	True
EQU24_RS19310	True
